choice,tick,x,y,speed,steer
0,0,81.33085,0,21.174532,0
0,16,85.81366,0,16.859035,0
0,32,89.97143,0,16.539164,0
0,48,94.10096,0,16.509584,0
0,64,98.22786,0,16.50685,0
0,80,102.35457,0,16.506596,0
0,96,106.6809,0.15795347,18.02121,0.13894455
0,112,111.19736,0.71662456,18.2823,0.06250434
0,128,115.70826,1.4802809,18.308773,0.029227719
0,144,120.20477,2.3384535,18.311731,0.01471898
0,160,124.692406,3.243466,18.312119,0.00851398
0,176,129.0865,4.4557557,18.216349,0.4453107
0,192,133.01402,6.760074,18.270073,0.20197758
0,208,136.58255,9.616468,18.301052,0.09647879
0,224,139.9506,12.714561,18.30936,0.05036652
0,240,143.20758,15.93108,18.311348,0.0314489
0,256,145.73395,19.692522,18.203304,0.38626742
0,272,147.17584,24.014301,18.275696,0.18500304
0,288,148.04294,28.503107,18.302158,0.0966863
0,304,148.60347,33.044888,18.309086,0.060415864
0,320,148.35994,37.58539,18.241714,0.3039658
0,336,147.15416,41.987507,18.289976,0.13894862
0,352,145.51364,46.257656,18.306662,0.067278564
0,368,143.66977,50.446983,18.310795,0.03603065
0,384,141.70978,54.58355,18.301157,0.31986952
0,400,139.296,58.463272,18.294752,0.14133668
0,416,136.49918,62.083637,18.307142,0.06523526
0,432,133.53477,65.57124,18.310953,0.032167196
0,448,130.49115,68.990776,18.31187,0.017843127
0,464,127.57892,72.49758,18.120651,-0.7928136
0,480,126.19795,76.79026,18.182537,-0.3918162
0,496,126.02905,81.33984,18.268988,-0.21579158
0,512,126.57447,85.873856,18.268532,-0.36656553
0,528,127.94375,90.22729,18.286564,-0.15947199
0,544,129.80725,94.40417,18.30555,-0.071775734
0,560,131.88524,98.4823,18.31068,-0.03399414
0,576,134.06192,102.50954,18.311838,-0.017515719
0,592,136.28827,106.50971,18.312098,-0.010633171
0,608,137.72157,111.00382,19.854492,0.6069222
0,624,137.13742,116.16268,21.687315,0.25053728
0,640,135.38089,121.52278,23.313643,0.10280478
0,656,133.0006,127.04027,24.632034,0.04574883
0,672,130.14075,132.6379,25.41983,0.5961975
0,688,125.54815,137.07912,25.953722,0.19037819
0,704,120.03296,140.61087,26.32057,0.06326616
0,720,114.25845,143.781,26.36438,0.023468256
0,736,108.40341,146.80954,26.36951,0.011528492
0,752,102.21349,148.95412,26.281376,0.1770469
0,768,95.7054,149.91908,26.352568,0.053048372
0,784,89.14081,150.50323,26.367796,0.01677382
0,800,82.56487,150.9674,26.369972,0.0058271885
0,816,75.98593,151.39069,26.370256,0.002445817
1,0,81.34354,0.0012920676,21.985926,0.20559925
1,16,86.81298,0.32955357,21.90509,0.07740447
1,32,92.244705,1.0231446,21.90538,0.03118582
1,48,97.65625,1.8640364,21.90663,0.013968274
1,64,103.05757,2.7695968,21.906948,0.007839985
1,80,107.8858,3.7006218,18.652157,0.036906235
1,96,112.3829,4.70512,18.34315,0.016960815
1,112,116.840904,5.7584925,18.314983,0.008448578
1,128,121.2901,6.837973,18.312445,0.00478971
1,144,125.66561,8.138604,18.233345,0.42943624
1,160,129.60172,10.432953,18.273205,0.19942805
1,176,133.18515,13.271043,18.301233,0.0990251
1,192,136.5647,16.356483,18.309132,0.055568665
1,208,139.74255,19.643229,18.27359,0.31390384
1,224,142.31676,23.415073,18.291616,0.14571369
1,240,144.48912,27.44074,18.306353,0.0724597
1,256,146.45326,31.57492,18.310558,0.040825367
1,272,148.04674,35.837566,18.119793,0.7165632
1,288,147.96597,40.35742,18.21,0.32472146
1,304,146.84401,44.777496,18.284206,0.15415174
1,320,145.24089,49.060806,18.305056,0.07935494
1,336,143.39943,53.250824,18.310122,0.047987223
1,352,141.16696,57.234562,18.282177,0.20781541
1,368,138.3881,60.864998,18.30214,0.09383154
